TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
84.474195011,-233.378,-8.33523,-8.20986,1.15309,-8.08255,0.534085,-3.45846,0.346434,-2.65579,1.60532,-0.970266,2.3134,1.14999,6.42853,6.46503,3.50024,3.43365,4.88366,0.836331,-1.28489,-2.24159
84.497414966,-231.551,-5.45111,-12.0507,3.04657,-13.4485,-0.90837,-4.3145,0.466698,-2.03113,2.66264,-1.883,4.15615,5.90699,7.00458,6.02837,5.42488,4.93876,5.71058,-0.0136824,-2.03691,-3.23819
84.520634921,-223.242,1.8856,-17.7694,6.6544,-18.083,-1.59629,-9.08468,0.332478,-5.05336,-0.0760124,0.0894627,3.22185,3.71001,3.0259,4.50979,5.32862,6.48744,7.30442,-0.195191,-3.17312,-2.60755
84.543854875,-222.768,2.58437,-18.2447,8.79237,-16.6279,2.55141,-3.56579,3.19099,-2.80126,-0.575094,-1.43879,-0.3076,2.00884,3.25638,4.2346,7.19256,6.92477,8.41316,0.0401736,-0.556829,-4.52352
84.567074830,-227.207,8.82039,-16.3985,12.7654,-14.2494,2.53721,-1.94009,-1.96754,-5.2052,-2.2391,-1.85652,-0.892875,2.53274,3.38814,4.97213,3.20767,2.75674,6.92754,0.301854,1.80596,-2.54842
84.590294785,-240.871,2.22851,-10.082,5.51881,-11.0295,2.25846,-2.74691,-1.14959,-4.66532,0.657842,-1.79183,0.582248,1.33266,6.06441,4.79732,5.96741,6.15343,8.75729,1.38438,-0.352033,-0.964454
84.613514739,-230.518,3.10521,-12.9086,-1.43104,-7.74748,6.64638,-1.04981,2.59333,-2.99536,-2.60572,1.40321,4.09792,-0.805566,2.1797,-0.783997,0.845057,2.24002,5.08288,1.19974,0.194696,-1.1281
84.636734694,-196.29,-1.54599,8.40879,5.19222,4.358,8.09232,1.60943,2.92308,0.475606,-0.196669,-1.61722,0.944141,-2.8548,-3.84014,-4.37655,-2.24346,-1.83943,0.584932,-1.03668,-1.51467,-2.64042
84.659954649,-183.041,6.04989,2.48045,3.45768,6.79292,12.5858,6.31388,5.52194,0.193905,0.294058,-1.83494,0.787604,-2.57998,-2.56568,-2.82751,-1.28559,-0.946673,0.3814,-3.63901,-2.935,-2.43217
84.683174603,-194.006,19.0582,0.869225,8.32122,-0.0417601,9.03196,1.0035,4.00827,-0.862949,0.100732,-1.45026,2.4718,-0.0957875,-0.557865,-1.66373,0.0743028,0.966215,-0.849527,-2.17014,-1.84744,-1.62359
84.706394558,-209.884,20.7606,3.81563,10.8473,2.10892,13.5942,3.07425,5.75827,2.96486,0.745344,-1.73522,1.13834,-1.5129,-0.555664,-2.14741,-1.74786,0.177961,0.70976,-2.03769,-3.07716,-1.36854
84.729614512,-209.284,25.2439,0.40741,9.84991,-3.16582,8.8602,3.79216,2.6389,-0.271708,-0.285298,-4.56483,0.986334,-1.20492,0.0820918,-0.964287,0.368418,-1.9016,-0.255793,-0.411427,-0.746245,1.64868
